Codi,Barris,Any,Preu_m2
38,la Teixonera  ,2025,14.96
39,Sant Genís dels Agudells  ,2014,7.75
39,Sant Genís dels Agudells  ,2015,8.32
39,Sant Genís dels Agudells  ,2016,8.73
39,Sant Genís dels Agudells  ,2017,9.52
39,Sant Genís dels Agudells  ,2018,9.68
39,Sant Genís dels Agudells  ,2019,10.65
39,Sant Genís dels Agudells  ,2020,10.62
39,Sant Genís dels Agudells  ,2021,10.31
39,Sant Genís dels Agudells  ,2022,10.76
39,Sant Genís dels Agudells  ,2023,12.02
39,Sant Genís dels Agudells  ,2024,11.09
39,Sant Genís dels Agudells  ,2025,12.25
40,Montbau  ,2014,9.27
40,Montbau  ,2015,10.07
40,Montbau  ,2016,10.29
40,Montbau  ,2017,12.52
40,Montbau  ,2018,11.02
40,Montbau  ,2019,11.88
40,Montbau  ,2020,11.89
40,Montbau  ,2021,11.19
40,Montbau  ,2022,11.89
40,Montbau  ,2023,13.77
40,Montbau  ,2024,13.64
40,Montbau  ,2025,15.47
41,la Vall d'Hebron  ,2014,9.95
41,la Vall d'Hebron  ,2015,10.07
41,la Vall d'Hebron  ,2016,11.23
41,la Vall d'Hebron  ,2017,12.16
41,la Vall d'Hebron  ,2018,12.32
41,la Vall d'Hebron  ,2019,13.32
41,la Vall d'Hebron  ,2020,12.23
41,la Vall d'Hebron  ,2021,12.66
41,la Vall d'Hebron  ,2022,13.69
41,la Vall d'Hebron  ,2023,14.95
41,la Vall d'Hebron  ,2024,15.04
41,la Vall d'Hebron  ,2025,15.34
42,la Clota  ,2014,10.45
42,la Clota  ,2015,7.97
42,la Clota  ,2016,12.32
42,la Clota  ,2017,15.07
42,la Clota  ,2018,7.97
42,la Clota  ,2019,11.45
42,la Clota  ,2020,11.45
42,la Clota  ,2021,12.10
42,la Clota  ,2022,
42,la Clota  ,2023,15.46
42,la Clota  ,2024,11.51
42,la Clota  ,2025,20.15
43,Horta  ,2014,8.94
43,Horta  ,2015,9.52
43,Horta  ,2016,10.60
43,Horta  ,2017,11.65
43,Horta  ,2018,11.80
43,Horta  ,2019,12.46
43,Horta  ,2020,12.63
43,Horta  ,2021,11.95
43,Horta  ,2022,12.45
43,Horta  ,2023,13.92
43,Horta  ,2024,14.23
43,Horta  ,2025,14.31
44,Vilapicina i la Torre Llobeta  ,2014,8.80
44,Vilapicina i la Torre Llobeta  ,2015,9.32
44,Vilapicina i la Torre Llobeta  ,2016,10.49
44,Vilapicina i la Torre Llobeta  ,2017,11.37
44,Vilapicina i la Torre Llobeta  ,2018,11.57
44,Vilapicina i la Torre Llobeta  ,2019,12.17
44,Vilapicina i la Torre Llobeta  ,2020,12.31
44,Vilapicina i la Torre Llobeta  ,2021,11.56
44,Vilapicina i la Torre Llobeta  ,2022,12.75
44,Vilapicina i la Torre Llobeta  ,2023,13.69
44,Vilapicina i la Torre Llobeta  ,2024,13.88
44,Vilapicina i la Torre Llobeta  ,2025,14.59
45,Porta  ,2014,8.64
45,Porta  ,2015,9.10
45,Porta  ,2016,10.05
45,Porta  ,2017,10.80
45,Porta  ,2018,11.44
45,Porta  ,2019,12.33
45,Porta  ,2020,12.06
45,Porta  ,2021,11.48
45,Porta  ,2022,12.28
45,Porta  ,2023,13.51
45,Porta  ,2024,13.44
45,Porta  ,2025,13.32
46,el Turó de la Peira  ,2014,7.81
46,el Turó de la Peira  ,2015,8.34
46,el Turó de la Peira  ,2016,9.45
46,el Turó de la Peira  ,2017,10.59
46,el Turó de la Peira  ,2018,11.30
46,el Turó de la Peira  ,2019,11.70
46,el Turó de la Peira  ,2020,11.59
